date,rating,userName,title,review
2025-05-26 07:48:26-07:00,3,Kit19Kat,Lots of fantastic features - on my short list of BEST,"Please be clearer about “free 7 day trial”.  I clicked on it but there was no free trial.  Each effect or tool brings you to a payment screen.  
The features are awesome, but a lot of us don’t have 80+ bucks to spend on an editing tool.  I realize you have to keep up with the trend to stay afloat.  I bet you’d get even more clients offering $19.99 annually (special offer).
You’re on my of the best list for photo editing tools.  Between you and Photoleap by light tricks.  I’m old school,  can clean & sharpen photos the old way.  However, the instant gratification offered is hard to deny!"
2025-05-25 08:37:37-07:00,1,tartaruspack,Terrible service and theft,"For those of us whom this developer stole money from by saying it was a “free trial” and immediately charging you $85…REPORT AS FRAUD TO APPLE. 

Go down the page to information and select “Report an issue,” and there is an option to report as fraud there."
2025-05-24 18:20:43-07:00,5,CheyJK765,I love this app!!!!,So good I would change the stuff that isn’t free
2025-05-19 00:30:39-07:00,5,G shine 1983,Perfect,"I recommend this app for anyone who loved to Photoshop. This app has great features. I wish I can get this app 10 stars this app will allow you to try to features, but you won’t be able to save them which is wonderful."
2025-05-16 20:10:53-07:00,1,hjh bh,TERRIBLE APP!😡😡😡😡,Don’t download this booty of a app u literally . I was just trying make forehead pay for it ! Absolutely not!😡
2025-05-15 10:24:11-07:00,1,Scabbage2012,Wish I could give no stars,I tried to use the face swap feature and it wouldn’t even let me export it. All of the good features require pay and they don’t even let you export. This app is run by a bunch of cheapskates.
2025-05-15 09:04:04-07:00,5,Lucy Loxley,Absolutely great,I just tried it for first time on moms phone and will download when I am home
2025-05-14 11:42:31-07:00,1,Dria284,Disappointed,After paying so much money for a pro subscription for a month. I'm still not able to use the al features...this is crazy. There nothing on the app that is working. $16 a month and nothing works
2025-05-13 14:54:45-07:00,1,Jaik from statefarm,Forced subscription,Not worth downloading they’ll let you edit your photo then block access to it with forced subscriptions.
2025-05-13 09:28:34-07:00,1,madsnickety,BEWARE OF THIS APP!! Free trial not as advertised,"Was advertised a free trial, and was charged $80 immediately to my card. Contacted Apple for a refund and was denied. Not even an explanation of why. Called support and was told no one there could change that decision. So don’t get ripped off by this app like I did."
2025-05-10 17:54:29-07:00,2,mrs.wright17,Would be cool if it was free,Can’t do much without paying
2025-05-01 20:01:25-07:00,5,Riimabooskiiz,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️
2025-04-29 18:36:27-07:00,5,RAYROD888,Phenomenal App,Excellent editor I’ve been using this app for years it’s always my go to editing app 🫶🏻
2025-04-29 12:10:36-07:00,5,3r1e,Love!! Love!! This app!!,Makes my mediocre photos look professional!
2025-04-29 11:58:17-07:00,1,https.green_7,Terrible app,Money hungry app
2025-04-28 13:52:45-07:00,5,valeriyaidlbi,super,hot like nuclear power
2025-04-28 07:28:07-07:00,3,X10002,Was good until recent,"I used to love this app for the Ai replace feature, the editing tool was really helpful for getting rid of very specific blemishes in photos. I know there's other tools available but they didn't work nearly as well as the Ai replace. However, as of the past month or so it seems they've become a lot more ""strict"" on what is ""appropriate"" and not. It could be a pic of my face and the prompt could be ""remove this wrinkle"" and it'll say it was suggestive content and won't do it. Quite saddened by this abruptly change. I pay the $20 a month for it but as of late, doesn't seem worth it anymore. Other than that it's an okay app."
2025-04-26 10:32:45-07:00,1,Dottie1215,I thought this was a free app,You can’t do anything unless you pay for a subscription. Is anything free anymore?
2025-04-23 06:14:35-07:00,5,Bri David,I,"I love it…
Has good amazing features and easy to use as long as you’re familiar with simple editing"
2025-04-23 04:20:16-07:00,2,Smith10041982,Expected more from service I’m paying for,You pay for the service but it restricts what you are allowed to ask AI to replace. Photos also look touched up after using the tools.
2025-04-21 23:24:57-07:00,3,vincent le ray,Prefer the older version,"I miss the old “remove” feature, this new “A.I remove” is honestly horrible please bring back the old version as an option, It was the main reason why I paid for premium."
2025-04-20 11:48:19-07:00,1,Jxksoabsoslbddjxldnxb,Why I don’t like YouCam Perfect,I have to pay to remove people from my pictures which is unacceptable.
